County	Election District	Election Precinct	Cong	Legs	Candidate Name	Partyx	Office Name	Office District	Winner	Write-In?	Election Night Votes	Election Night Votes Against
2	1	4	2	31A	Fake Judge Name	BOT	Fake Retention Office	2			228	
2	1	4	2	31A	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		397	
2	1	4	2	31A	Michael Carney	LIB	Representative in Congress	2			11	
2	1	4	2	31A	Guy Mimoun	GRN	Representative in Congress	2			1	
2	1	4	2	31A	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	5	2	32	Fake Judge Name	BOT	Fake Retention Office	2			205	
2	1	5	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		400	
2	1	5	2	32	Michael Carney	LIB	Representative in Congress	2			10	
2	1	5	2	32	Guy Mimoun	GRN	Representative in Congress	2			6	
2	1	5	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
2	1	6	2	32	Fake Judge Name	BOT	Fake Retention Office	2			223	
2	1	6	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		588	
2	1	6	2	32	Michael Carney	LIB	Representative in Congress	2			17	
2	1	6	2	32	Guy Mimoun	GRN	Representative in Congress	2			6	
2	1	6	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	7	2	32	Fake Judge Name	BOT	Fake Retention Office	2			400	
2	1	7	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		246	
2	1	7	2	32	Michael Carney	LIB	Representative in Congress	2			23	
2	1	7	2	32	Guy Mimoun	GRN	Representative in Congress	2			9	
2	1	7	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	10	2	32	Fake Judge Name	BOT	Fake Retention Office	2			349	
2	1	10	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		286	
2	1	10	2	32	Michael Carney	LIB	Representative in Congress	2			18	
2	1	10	2	32	Guy Mimoun	GRN	Representative in Congress	2			10	
2	1	10	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
2	1	11	2	32	Fake Judge Name	BOT	Fake Retention Office	2			336	
2	1	11	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		225	
2	1	11	2	32	Michael Carney	LIB	Representative in Congress	2			13	
2	1	11	2	32	Guy Mimoun	GRN	Representative in Congress	2			9	
2	1	11	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
2	1	12	2	31A	Fake Judge Name	BOT	Fake Retention Office	2			159	
2	1	12	2	31A	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		562	
2	1	12	2	31A	Michael Carney	LIB	Representative in Congress	2			28	
2	1	12	2	31A	Guy Mimoun	GRN	Representative in Congress	2			5	
2	1	12	2	31A	Other Write-Ins	BOT	Representative in Congress	2		Y	3	
2	1	13	2	31A	Fake Judge Name	BOT	Fake Retention Office	2			105	
2	1	13	2	31A	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		204	
2	1	13	2	31A	Michael Carney	LIB	Representative in Congress	2			9	
2	1	13	2	31A	Guy Mimoun	GRN	Representative in Congress	2			7	
2	1	13	2	31A	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	15	2	31A	Fake Judge Name	BOT	Fake Retention Office	2			330	
2	1	15	2	31A	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		327	
2	1	15	2	31A	Michael Carney	LIB	Representative in Congress	2			19	
2	1	15	2	31A	Guy Mimoun	GRN	Representative in Congress	2			11	
2	1	15	2	31A	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
2	1	16	2	31A	Fake Judge Name	BOT	Fake Retention Office	2			266	
2	1	16	2	31A	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		320	
2	1	16	2	31A	Michael Carney	LIB	Representative in Congress	2			27	
2	1	16	2	31A	Guy Mimoun	GRN	Representative in Congress	2			5	
2	1	16	2	31A	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	17	2	31A	Fake Judge Name	BOT	Fake Retention Office	2			163	
2	1	17	2	31A	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		228	
2	1	17	2	31A	Michael Carney	LIB	Representative in Congress	2			15	
2	1	17	2	31A	Guy Mimoun	GRN	Representative in Congress	2			4	
2	1	17	2	31A	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	18	2	31A	Fake Judge Name	BOT	Fake Retention Office	2			263	
2	1	18	2	31A	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		486	
2	1	18	2	31A	Michael Carney	LIB	Representative in Congress	2			25	
2	1	18	2	31A	Guy Mimoun	GRN	Representative in Congress	2			6	
2	1	18	2	31A	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	19	2	32	Fake Judge Name	BOT	Fake Retention Office	2			231	
2	1	19	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		564	
2	1	19	2	32	Michael Carney	LIB	Representative in Congress	2			14	
2	1	19	2	32	Guy Mimoun	GRN	Representative in Congress	2			8	
2	1	19	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	20	2	32	Fake Judge Name	BOT	Fake Retention Office	2			252	
2	1	20	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		466	
2	1	20	2	32	Michael Carney	LIB	Representative in Congress	2			18	
2	1	20	2	32	Guy Mimoun	GRN	Representative in Congress	2			7	
2	1	20	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	21	2	32	Fake Judge Name	BOT	Fake Retention Office	2			125	
2	1	21	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		597	
2	1	21	2	32	Michael Carney	LIB	Representative in Congress	2			12	
2	1	21	2	32	Guy Mimoun	GRN	Representative in Congress	2			5	
2	1	21	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	3	
2	1	22	2	32	Fake Judge Name	BOT	Fake Retention Office	2			453	
2	1	22	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		1062	
2	1	22	2	32	Michael Carney	LIB	Representative in Congress	2			43	
2	1	22	2	32	Guy Mimoun	GRN	Representative in Congress	2			9	
2	1	22	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	23	2	32	Fake Judge Name	BOT	Fake Retention Office	2			115	
2	1	23	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		365	
2	1	23	2	32	Michael Carney	LIB	Representative in Congress	2			12	
2	1	23	2	32	Guy Mimoun	GRN	Representative in Congress	2			3	
2	1	23	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	24	2	32	Fake Judge Name	BOT	Fake Retention Office	2			148	
2	1	24	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		346	
2	1	24	2	32	Michael Carney	LIB	Representative in Congress	2			15	
2	1	24	2	32	Guy Mimoun	GRN	Representative in Congress	2			4	
2	1	24	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
2	1	25	2	32	Fake Judge Name	BOT	Fake Retention Office	2			266	
2	1	25	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		269	
2	1	25	2	32	Michael Carney	LIB	Representative in Congress	2			12	
2	1	25	2	32	Guy Mimoun	GRN	Representative in Congress	2			7	
2	1	25	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
2	1	26	2	32	Fake Judge Name	BOT	Fake Retention Office	2			135	
2	1	26	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		891	
2	1	26	2	32	Michael Carney	LIB	Representative in Congress	2			42	
2	1	26	2	32	Guy Mimoun	GRN	Representative in Congress	2			8	
2	1	26	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
2	4	7	2	32	Fake Judge Name	BOT	Fake Retention Office	2			178	
2	4	7	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		584	
2	4	7	2	32	Michael Carney	LIB	Representative in Congress	2			28	
2	4	7	2	32	Guy Mimoun	GRN	Representative in Congress	2			14	
2	4	7	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
2	4	9	2	32	Fake Judge Name	BOT	Fake Retention Office	2			197	
2	4	9	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		1056	
2	4	9	2	32	Michael Carney	LIB	Representative in Congress	2			26	
2	4	9	2	32	Guy Mimoun	GRN	Representative in Congress	2			12	
2	4	9	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
2	4	19	2	32	Fake Judge Name	BOT	Fake Retention Office	2			73	
2	4	19	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		595	
2	4	19	2	32	Michael Carney	LIB	Representative in Congress	2			17	
2	4	19	2	32	Guy Mimoun	GRN	Representative in Congress	2			4	
2	4	19	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
2	4	24	2	32	Fake Judge Name	BOT	Fake Retention Office	2			124	
2	4	24	2	32	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		641	
