Name	ElectionDistrict	ElectionDistrictType	VotesAllowed	NumberElected	NumberRunoff	IsPartisan
North Carolina;General Assembly House of Representatives District 95	North Carolina;General Assembly House of Representatives District 95	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 96	North Carolina;General Assembly House of Representatives District 96	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 97	North Carolina;General Assembly House of Representatives District 97	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 98	North Carolina;General Assembly House of Representatives District 98	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 99	North Carolina;General Assembly House of Representatives District 99	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 100	North Carolina;General Assembly House of Representatives District 100	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 101	North Carolina;General Assembly House of Representatives District 101	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 102	North Carolina;General Assembly House of Representatives District 102	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 103	North Carolina;General Assembly House of Representatives District 103	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 104	North Carolina;General Assembly House of Representatives District 104	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 105	North Carolina;General Assembly House of Representatives District 105	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 106	North Carolina;General Assembly House of Representatives District 106	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 107	North Carolina;General Assembly House of Representatives District 107	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 108	North Carolina;General Assembly House of Representatives District 108	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 109	North Carolina;General Assembly House of Representatives District 109	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 110	North Carolina;General Assembly House of Representatives District 110	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 111	North Carolina;General Assembly House of Representatives District 111	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 112	North Carolina;General Assembly House of Representatives District 112	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 113	North Carolina;General Assembly House of Representatives District 113	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 114	North Carolina;General Assembly House of Representatives District 114	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 115	North Carolina;General Assembly House of Representatives District 115	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 116	North Carolina;General Assembly House of Representatives District 116	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 117	North Carolina;General Assembly House of Representatives District 117	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 118	North Carolina;General Assembly House of Representatives District 118	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 119	North Carolina;General Assembly House of Representatives District 119	state-house	1	1	0	True
North Carolina;General Assembly House of Representatives District 120	North Carolina;General Assembly House of Representatives District 120	state-house	1	1	0	True
North Carolina;General Assembly Senate District 1	North Carolina;General Assembly Senate District 1	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 2	North Carolina;General Assembly Senate District 2	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 3	North Carolina;General Assembly Senate District 3	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 4	North Carolina;General Assembly Senate District 4	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 5	North Carolina;General Assembly Senate District 5	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 6	North Carolina;General Assembly Senate District 6	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 7	North Carolina;General Assembly Senate District 7	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 8	North Carolina;General Assembly Senate District 8	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 9	North Carolina;General Assembly Senate District 9	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 10	North Carolina;General Assembly Senate District 10	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 11	North Carolina;General Assembly Senate District 11	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 12	North Carolina;General Assembly Senate District 12	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 13	North Carolina;General Assembly Senate District 13	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 14	North Carolina;General Assembly Senate District 14	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 15	North Carolina;General Assembly Senate District 15	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 16	North Carolina;General Assembly Senate District 16	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 17	North Carolina;General Assembly Senate District 17	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 18	North Carolina;General Assembly Senate District 18	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 19	North Carolina;General Assembly Senate District 19	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 20	North Carolina;General Assembly Senate District 20	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 21	North Carolina;General Assembly Senate District 21	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 22	North Carolina;General Assembly Senate District 22	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 23	North Carolina;General Assembly Senate District 23	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 24	North Carolina;General Assembly Senate District 24	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 25	North Carolina;General Assembly Senate District 25	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 26	North Carolina;General Assembly Senate District 26	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 27	North Carolina;General Assembly Senate District 27	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 28	North Carolina;General Assembly Senate District 28	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 29	North Carolina;General Assembly Senate District 29	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 30	North Carolina;General Assembly Senate District 30	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 31	North Carolina;General Assembly Senate District 31	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 32	North Carolina;General Assembly Senate District 32	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 33	North Carolina;General Assembly Senate District 33	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 34	North Carolina;General Assembly Senate District 34	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 35	North Carolina;General Assembly Senate District 35	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 36	North Carolina;General Assembly Senate District 36	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 37	North Carolina;General Assembly Senate District 37	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 38	North Carolina;General Assembly Senate District 38	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 39	North Carolina;General Assembly Senate District 39	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 40	North Carolina;General Assembly Senate District 40	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 41	North Carolina;General Assembly Senate District 41	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 42	North Carolina;General Assembly Senate District 42	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 43	North Carolina;General Assembly Senate District 43	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 44	North Carolina;General Assembly Senate District 44	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 45	North Carolina;General Assembly Senate District 45	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 46	North Carolina;General Assembly Senate District 46	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 47	North Carolina;General Assembly Senate District 47	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 48	North Carolina;General Assembly Senate District 48	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 49	North Carolina;General Assembly Senate District 49	state-senate	1	1	0	True
North Carolina;General Assembly Senate District 50	North Carolina;General Assembly Senate District 50	state-senate	1	1	0	True
North Carolina;US Congress House of Representatives District 1	North Carolina;US Congress House of Representatives District 1	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 2	North Carolina;US Congress House of Representatives District 2	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 3	North Carolina;US Congress House of Representatives District 3	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 4	North Carolina;US Congress House of Representatives District 4	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 5	North Carolina;US Congress House of Representatives District 5	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 6	North Carolina;US Congress House of Representatives District 6	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 7	North Carolina;US Congress House of Representatives District 7	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 8	North Carolina;US Congress House of Representatives District 8	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 9	North Carolina;US Congress House of Representatives District 9	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 10	North Carolina;US Congress House of Representatives District 10	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 11	North Carolina;US Congress House of Representatives District 11	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 12	North Carolina;US Congress House of Representatives District 12	congressional	1	1	0	True
North Carolina;US Congress House of Representatives District 13	North Carolina;US Congress House of Representatives District 13	congressional	1	1	0	True
North Carolina;US Congress;Senate	North Carolina	state	1	1	0	True
