Contest	Selection	Count
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	18454
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	35785
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	29701
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	24913
ALAMANCE COUNTY SCHOOL BONDS	No	16652
ALAMANCE COUNTY SCHOOL BONDS	Yes	37883
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	2582
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	1861
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	4794
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	2860
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	5374
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	For	2173
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	Against	4924
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	For	2817
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	Against	5066
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	For	2540
ANSON COUNTY MIXED BEVERAGE ELECTION	Against	4540
ANSON COUNTY MIXED BEVERAGE ELECTION	For	3168
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	Against	5373
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	For	2136
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	Against	4917
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	For	2767
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	Against	5088
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	For	2476
AVERY COUNTY LOCAL SALES AND USE TAX	Against	4008
AVERY COUNTY LOCAL SALES AND USE TAX	For	2180
BERTIE COUNTY LOCAL SALES AND USE TAX	Against	3432
BERTIE COUNTY LOCAL SALES AND USE TAX	For	3213
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	Against	2199635
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	For	1371299
BLADEN COUNTY LOCAL SALES AND USE TAX	Against	8440
BLADEN COUNTY LOCAL SALES AND USE TAX	For	3993
CALDWELL COUNTY LOCAL SALES AND USE TAX	Against	18503
CALDWELL COUNTY LOCAL SALES AND USE TAX	For	6286
CASWELL COUNTY LOCAL SALES AND USE TAX	Against	5800
CASWELL COUNTY LOCAL SALES AND USE TAX	For	2142
CASWELL COUNTY SCHOOL BONDS	No	3121
CASWELL COUNTY SCHOOL BONDS	Yes	4927
CITY OF CHARLOTTE HOUSING BONDS	No	87988
CITY OF CHARLOTTE HOUSING BONDS	Yes	190275
