Contest	Selection	Count
Bald Head Island Beach Improvement Bonds	No	22
Bald Head Island Beach Improvement Bonds	Yes	69
Maysville Fire Tax Election	Against	21
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Candice Hunter	1611
North Carolina;General Assembly House of Representatives District 1 Primary;North Carolina Republican Party	Edward C. Goodwin	3974
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Carolyn Logan	5150
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Chance Harris	742
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Lucille Puckett	1463
North Carolina;General Assembly House of Representatives District 101 Primary;North Carolina Democratic Party	Mr. Gregory J. Miller	372
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Becky Carney	8732
North Carolina;General Assembly House of Representatives District 102 Primary;North Carolina Democratic Party	Josh Jarrett	1008
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Ayoub Ouederni	940
North Carolina;General Assembly House of Representatives District 105 Primary;North Carolina Democratic Party	Wesley Harris	4488
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Blanche Penn	505
North Carolina;General Assembly House of Representatives District 106 Primary;North Carolina Democratic Party	Carla Cunningham	8072
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Allison Dahle	9034
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Duane Hall	1746
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Democratic Party	Heather Metour	328
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Shawn Michael Hamilton	456
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Tyler Brooks	1672
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Charlene High	1265
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Kelly E. Hastings	4076
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Amy Evans	2150
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Nathan West	991
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Blake Beadle	1863
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Patricia (Pat) McElraft	11492
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	George G. Cleveland	4244
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	Joseph R. McLaughlin	1917
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Frank Iler	6330
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Patricia (Pat) Sykes	2015
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Hunter Ford	818
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Ted Davis, Jr.	3410
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Darryl D. Moss	7316
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Dora P. Bullock	1516
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Jim McIlroy	341
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Larry Yarborough	3038
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Gary K. Shipman	1999
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	John Bauer	326
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Leslie Cohen	4210
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Eugene Pearsall	1331
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Raymond Smith	3022
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Lawrence A. Aycock	2195
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Martin (Tony) Denning	5716
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Franklin D. Williams, Jr.	5716
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Michael H. Wray	14638
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Barbara Lee	4902
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Charles Dudley	1172
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Eric Queen	2201
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Michael Speciale	5894
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Antoine Marshall	1442
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Rosa U. Gill	7028
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Shirley E. Hicks	879
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Adam B. Wright	881
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Terence Everitt	7852
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Chris Malone	3302
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Isaac Burke	1396
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	Da'Quan Marcell Love	4902
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	William Vann	1811
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Jimmy Dixon	5530
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Nathan Ray Riggs	541
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Elmer Floyd	7774
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Prince Christian	133
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Theresa Gale	891
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Linda Devore	3062
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Patrick Petsche	758
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Jarrod Lowery	1144
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Tom Norton	384
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	John W. Imbaratto	447
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	Russell Walker	1648
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Jamie Boles	12234
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Ken Byrd	4015
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Alan Longman	467
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Richard Chapman	3280
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Amos Quick	8300
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Katelyn (Kate) Flippen	1027
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Jon Hardister	5384
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Karen C. Albright	206
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Mark McDaniel	1013
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Beverly Boswell	3208
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Bobby Hanig	7242
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Cathy Von Hassel-Davies	1137
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Elliott Lynch	2000
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Michael H. (Mike) Lee	2788
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Wally White	1351
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Justin P. Burr	3874
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Wayne Sasser	9900
