Name	VotesAllowed	NumberElected	NumberRunoff	IsPartisan	Office	PrimaryParty
PA Governor	1	1	0	True	PA Governor	
US House PA District 1	1	1	0	True	US House PA District 1	
US House PA District 2	1	1	0	True	US House PA District 2	
US House PA District 3	1	1	0	True	US House PA District 3	
US House PA District 4	1	1	0	True	US House PA District 4	
US House PA District 5	1	1	0	True	US House PA District 5	
US House PA District 6	1	1	0	True	US House PA District 6	
US House PA District 7	1	1	0	True	US House PA District 7	
US House PA District 8	1	1	0	True	US House PA District 8	
US House PA District 9	1	1	0	True	US House PA District 9	
US House PA District 10	1	1	0	True	US House PA District 10	
US House PA District 11	1	1	0	True	US House PA District 11	
US House PA District 12	1	1	0	True	US House PA District 12	
US House PA District 13	1	1	0	True	US House PA District 13	
US House PA District 14	1	1	0	True	US House PA District 14	
US House PA District 15	1	1	0	True	US House PA District 15	
US House PA District 16	1	1	0	True	US House PA District 16	
US House PA District 17	1	1	0	True	US House PA District 17	
US House PA District 18	1	1	0	True	US House PA District 18	
PA House District 1	1	1	0	True	PA House District 1	
PA House District 2	1	1	0	True	PA House District 2	
PA House District 3	1	1	0	True	PA House District 3	
PA House District 4	1	1	0	True	PA House District 4	
PA House District 5	1	1	0	True	PA House District 5	
PA House District 6	1	1	0	True	PA House District 6	
PA House District 7	1	1	0	True	PA House District 7	
PA House District 8	1	1	0	True	PA House District 8	
PA House District 9	1	1	0	True	PA House District 9	
PA House District 10	1	1	0	True	PA House District 10	
PA House District 11	1	1	0	True	PA House District 11	
PA House District 12	1	1	0	True	PA House District 12	
PA House District 13	1	1	0	True	PA House District 13	
PA House District 14	1	1	0	True	PA House District 14	
PA House District 15	1	1	0	True	PA House District 15	
PA House District 16	1	1	0	True	PA House District 16	
PA House District 17	1	1	0	True	PA House District 17	
PA House District 18	1	1	0	True	PA House District 18	
PA House District 19	1	1	0	True	PA House District 19	
PA House District 20	1	1	0	True	PA House District 20	
PA House District 21	1	1	0	True	PA House District 21	
PA House District 22	1	1	0	True	PA House District 22	
PA House District 23	1	1	0	True	PA House District 23	
PA House District 24	1	1	0	True	PA House District 24	
PA House District 25	1	1	0	True	PA House District 25	
PA House District 26	1	1	0	True	PA House District 26	
PA House District 27	1	1	0	True	PA House District 27	
PA House District 28	1	1	0	True	PA House District 28	
PA House District 29	1	1	0	True	PA House District 29	
PA House District 30	1	1	0	True	PA House District 30	
PA House District 31	1	1	0	True	PA House District 31	
PA House District 32	1	1	0	True	PA House District 32	
PA House District 33	1	1	0	True	PA House District 33	
PA House District 34	1	1	0	True	PA House District 34	
PA House District 35	1	1	0	True	PA House District 35	
PA House District 36	1	1	0	True	PA House District 36	
PA House District 37	1	1	0	True	PA House District 37	
PA House District 38	1	1	0	True	PA House District 38	
PA House District 39	1	1	0	True	PA House District 39	
PA House District 40	1	1	0	True	PA House District 40	
PA House District 41	1	1	0	True	PA House District 41	
PA House District 42	1	1	0	True	PA House District 42	
PA House District 43	1	1	0	True	PA House District 43	
PA House District 44	1	1	0	True	PA House District 44	
PA House District 45	1	1	0	True	PA House District 45	
PA House District 46	1	1	0	True	PA House District 46	
PA House District 47	1	1	0	True	PA House District 47	
PA House District 48	1	1	0	True	PA House District 48	
PA House District 49	1	1	0	True	PA House District 49	
PA House District 50	1	1	0	True	PA House District 50	
PA House District 51	1	1	0	True	PA House District 51	
PA House District 52	1	1	0	True	PA House District 52	
PA House District 53	1	1	0	True	PA House District 53	
PA House District 54	1	1	0	True	PA House District 54	
PA House District 55	1	1	0	True	PA House District 55	
PA House District 56	1	1	0	True	PA House District 56	
PA House District 57	1	1	0	True	PA House District 57	
PA House District 58	1	1	0	True	PA House District 58	
PA House District 59	1	1	0	True	PA House District 59	
PA House District 60	1	1	0	True	PA House District 60	
PA House District 61	1	1	0	True	PA House District 61	
PA House District 62	1	1	0	True	PA House District 62	
PA House District 63	1	1	0	True	PA House District 63	
PA House District 64	1	1	0	True	PA House District 64	
PA House District 65	1	1	0	True	PA House District 65	
PA House District 66	1	1	0	True	PA House District 66	
PA House District 67	1	1	0	True	PA House District 67	
PA House District 68	1	1	0	True	PA House District 68	
PA House District 69	1	1	0	True	PA House District 69	
PA House District 70	1	1	0	True	PA House District 70	
PA House District 71	1	1	0	True	PA House District 71	
PA House District 72	1	1	0	True	PA House District 72	
PA House District 73	1	1	0	True	PA House District 73	
PA House District 74	1	1	0	True	PA House District 74	
PA House District 75	1	1	0	True	PA House District 75	
PA House District 76	1	1	0	True	PA House District 76	
PA House District 77	1	1	0	True	PA House District 77	
PA House District 78	1	1	0	True	PA House District 78	
PA House District 79	1	1	0	True	PA House District 79	
PA House District 80	1	1	0	True	PA House District 80	
PA House District 81	1	1	0	True	PA House District 81	
PA House District 82	1	1	0	True	PA House District 82	
PA House District 83	1	1	0	True	PA House District 83	
PA House District 84	1	1	0	True	PA House District 84	
PA House District 85	1	1	0	True	PA House District 85	
PA House District 86	1	1	0	True	PA House District 86	
PA House District 87	1	1	0	True	PA House District 87	
PA House District 88	1	1	0	True	PA House District 88	
PA House District 89	1	1	0	True	PA House District 89	
PA House District 90	1	1	0	True	PA House District 90	
PA House District 91	1	1	0	True	PA House District 91	
PA House District 92	1	1	0	True	PA House District 92	
PA House District 93	1	1	0	True	PA House District 93	
PA House District 94	1	1	0	True	PA House District 94	
PA House District 95	1	1	0	True	PA House District 95	
PA House District 96	1	1	0	True	PA House District 96	
PA House District 97	1	1	0	True	PA House District 97	
PA House District 98	1	1	0	True	PA House District 98	
PA House District 99	1	1	0	True	PA House District 99	
PA House District 100	1	1	0	True	PA House District 100	
PA House District 101	1	1	0	True	PA House District 101	
PA House District 102	1	1	0	True	PA House District 102	
PA House District 103	1	1	0	True	PA House District 103	
PA House District 104	1	1	0	True	PA House District 104	
PA House District 105	1	1	0	True	PA House District 105	
PA House District 106	1	1	0	True	PA House District 106	
PA House District 107	1	1	0	True	PA House District 107	
PA House District 108	1	1	0	True	PA House District 108	
PA House District 109	1	1	0	True	PA House District 109	
PA House District 110	1	1	0	True	PA House District 110	
PA House District 111	1	1	0	True	PA House District 111	
PA House District 112	1	1	0	True	PA House District 112	
PA House District 113	1	1	0	True	PA House District 113	
PA House District 114	1	1	0	True	PA House District 114	
PA House District 115	1	1	0	True	PA House District 115	
PA House District 116	1	1	0	True	PA House District 116	
PA House District 117	1	1	0	True	PA House District 117	
PA House District 118	1	1	0	True	PA House District 118	
PA House District 119	1	1	0	True	PA House District 119	
PA House District 120	1	1	0	True	PA House District 120	
PA House District 121	1	1	0	True	PA House District 121	
PA House District 122	1	1	0	True	PA House District 122	
PA House District 123	1	1	0	True	PA House District 123	
PA House District 124	1	1	0	True	PA House District 124	
PA House District 125	1	1	0	True	PA House District 125	
PA House District 126	1	1	0	True	PA House District 126	
PA House District 127	1	1	0	True	PA House District 127	
PA House District 128	1	1	0	True	PA House District 128	
PA House District 129	1	1	0	True	PA House District 129	
PA House District 130	1	1	0	True	PA House District 130	
PA House District 131	1	1	0	True	PA House District 131	
PA House District 132	1	1	0	True	PA House District 132	
PA House District 133	1	1	0	True	PA House District 133	
PA House District 134	1	1	0	True	PA House District 134	
PA House District 135	1	1	0	True	PA House District 135	
PA House District 136	1	1	0	True	PA House District 136	
PA House District 137	1	1	0	True	PA House District 137	
PA House District 138	1	1	0	True	PA House District 138	
PA House District 139	1	1	0	True	PA House District 139	
PA House District 140	1	1	0	True	PA House District 140	
PA House District 141	1	1	0	True	PA House District 141	
PA House District 142	1	1	0	True	PA House District 142	
PA House District 143	1	1	0	True	PA House District 143	
PA House District 144	1	1	0	True	PA House District 144	
PA House District 145	1	1	0	True	PA House District 145	
PA House District 146	1	1	0	True	PA House District 146	
PA House District 147	1	1	0	True	PA House District 147	
PA House District 148	1	1	0	True	PA House District 148	
PA House District 149	1	1	0	True	PA House District 149	
PA House District 150	1	1	0	True	PA House District 150	
PA House District 151	1	1	0	True	PA House District 151	
PA House District 152	1	1	0	True	PA House District 152	
PA House District 153	1	1	0	True	PA House District 153	
PA House District 154	1	1	0	True	PA House District 154	
PA House District 155	1	1	0	True	PA House District 155	
PA House District 156	1	1	0	True	PA House District 156	
PA House District 157	1	1	0	True	PA House District 157	
PA House District 158	1	1	0	True	PA House District 158	
PA House District 159	1	1	0	True	PA House District 159	
